max_features,n_estimators,min_samples_leaf,loss
0.3,365,2,0.142429650302
1.0,462,1,0.145633683029
0.2,445,2,0.14282148607
0.1,358,1,0.145658235481
0.6,201,2,0.143300932745
0.3,210,3,0.143873910025
0.3,95,7,0.150254590829
0.3,409,5,0.147075808304
0.4,371,7,0.148506590687
0.5,353,1,0.141082386729
0.2,161,8,0.153322208789
0.5,483,6,0.147373066668
0.9,159,5,0.148618738474
0.3,223,5,0.146770084457
0.1,222,6,0.156640826636
0.3,250,1,0.141138356504
0.8,4,0,0.158621230856
0.2,104,6,0.150270671726
0.5,118,1,0.141323444452
0.6,277,5,0.14647569098
0.6,337,4,0.144677208245
0.7,251,1,0.142673159479
0.4,353,1,0.140368839518
0.4,205,3,0.143753556547
0.7,135,1,0.143118911361
0.4,353,0,0.13967503316
0.4,79,0,0.14162093978
0.4,45,0,0.14299845033
0.7,353,8,0.150755689072
0.2,191,0,0.140281853677
0.1,383,0,0.143248484626
0.2,60,0,0.144775812937
0.1,306,4,0.15340502888
0.2,147,0,0.140724869447
0.2,269,2,0.143445276997
0.1,297,0,0.142583722461
0.3,56,3,0.145046832768
0.5,53,7,0.149516290126
1.0,178,0,0.145973133878
0.3,344,2,0.141873619852
0.4,301,8,0.149636682553
0.6,62,0,0.140640034721
0.3,395,4,0.145042588442
0.5,167,0,0.139720927097
0.8,476,7,0.150406967227
0.6,248,3,0.143835308241
0.8,498,6,0.148248378847
0.5,391,2,0.142706826257
0.9,88,8,0.152774527704
0.5,89,5,0.145904145094
0.7,28,0,0.146948519038
0.6,367,7,0.148636462227
0.4,478,6,0.147341624832
0.9,128,4,0.147412428062
0.5,43,0,0.142327670203
0.6,167,5,0.146222936689
0.8,137,3,0.146071297922
0.3,423,0,0.139547760669
0.3,76,8,0.15113217465
0.4,8,2,0.152766128184
0.2,208,0,0.140290772873
0.1,98,6,0.158236886632
0.3,336,1,0.140493791357
0.4,441,7,0.148444257808
0.2,14,0,0.147157413235
0.4,292,0,0.138509109157
0.4,356,0,0.139413983119
0.3,423,0,0.139210496858
0.4,252,0,0.139576590359
0.3,394,0,0.139102798249
0.2,460,0,0.139937209937
0.1,101,4,0.152813011894
0.3,447,5,0.146527708744
0.3,58,0,0.141245006463
0.2,397,3,0.145148655615
0.5,196,0,0.140397767923
0.1,125,8,0.160363039722
0.4,456,2,0.141813360738
0.3,394,1,0.141060439833
0.2,20,0,0.146255636261
0.7,308,6,0.147708562109
0.5,112,0,0.141324300611
0.2,78,7,0.151832280299
0.3,193,4,0.145268802601
0.4,264,5,0.145494111357
0.3,170,0,0.139734099807
0.6,280,3,0.143900250626
0.1,423,1,0.145605215783
0.5,51,0,0.143125717427
0.2,226,8,0.153140508414
0.5,116,2,0.142221739624
0.3,331,0,0.139414064261
0.4,292,6,0.147660433572
0.6,431,7,0.148937249868
0.1,3,4,0.173709813257
0.2,272,0,0.139851129283
0.4,181,5,0.145770809191
0.7,479,0,0.141627516169
0.3,64,3,0.144393009138
0.4,233,1,0.141299329868
